ip,d1,d2,d3,d4,d5,d6,screenWidth,screenHeight,innerWidth,innerHeight,colorDepth,pixelDepth,instructionsTime,blockID,pause,trialID,RT,response,wascorrect,tPresent,tSize,tColor,tOrientation,tLocation
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,78,526,left,true,true,1,#D73138,90,s5,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,79,484,left,true,true,1,#D73138,90,s15,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,80,484,left,true,true,1,#D73138,90,s1,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,81,434,right,true,false,1,#D73138,90,s1,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,82,586,right,true,false,1,#D73138,90,s1,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,83,497,left,true,true,1,#0084BA,0,s18,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,84,521,left,true,true,1,#D73138,90,s24,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,85,584,right,true,false,1,#D73138,90,s24,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,86,527,left,true,true,1,#0084BA,0,s9,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,87,484,left,true,true,1,#D73138,90,s11,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,88,547,right,true,false,1,#D73138,90,s11,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,89,546,right,true,false,1,#D73138,90,s11,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,90,509,left,true,true,1,#D73138,90,s18,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,91,508,right,true,false,1,#D73138,90,s18,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,92,509,right,true,false,1,#D73138,90,s18,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,93,483,left,true,true,1,#0084BA,0,s23,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,94,483,left,true,true,1,#0084BA,0,s8,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,95,488,left,true,true,1,#D73138,90,s14,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,96,1021,right,true,false,1,#D73138,90,s14,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,97,658,right,true,false,1,#D73138,90,s14,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,98,572,left,true,true,1,#D73138,90,s3,R
::1,ger,Male,26,Right,Corrected,Second,1920,1053,1920,1001,24,24,4,4,4,99,710,right,true,false,1,#D73138,90,s3

::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,0,653,left,true,true,1,#0084BA,0,s18,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,1,820,left,true,true,1,#D73138,90,s23,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,2,822,right,true,false,1,#D73138,90,s23,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,3,734,left,true,true,1,#D73138,90,s19,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,4,1121,right,true,false,1,#D73138,90,s19,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,5,872,left,true,true,1,#D73138,90,s16,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,6,859,left,true,true,1,#D73138,90,s21,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,7,785,left,true,true,1,#D73138,90,s13,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,8,1010,left,true,true,1,#D73138,90,s19,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,9,797,left,false,false,1,#D73138,90,s19,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,10,686,right,true,false,1,#D73138,90,s19,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,11,685,left,true,true,1,#D73138,90,s4,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,12,1214,left,true,true,1,#D73138,90,s6,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,13,1248,left,false,false,1,#D73138,90,s6,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,14,2785,right,false,true,1,#0084BA,0,s20,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,15,1460,left,false,false,1,#0084BA,0,s20,B
::1,ge,Female,23,Left,Corrected,Second,1920,1053,1920,1001,24,24,1,1,0,16,834,left,true,true,1,#D73138,90,s21,B
